"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 21 15:02:32 UTC 2026","Fri Aug 21 15:02:33 UTC 2026","600","HRM-Pet-project","","","","","New Request",""
"passed","Fri Aug 21 15:03:23 UTC 2026","Fri Aug 21 15:03:27 UTC 2026","3960","","tests.CRMTests","","tests.CRMTests","testLogin","testLogin()","Successful login"
"passed","Fri Aug 21 15:03:31 UTC 2026","Fri Aug 21 15:03:35 UTC 2026","4429","","tests.CRMTests","","tests.CRMTests","testLogout","testLogout()","Logout"
"passed","Fri Aug 21 15:03:39 UTC 2026","Fri Aug 21 15:03:41 UTC 2026","1263","","tests.ApiUnAuthorizedTests","","tests.ApiUnAuthorizedTests","testSuccessfulAuth","POST /auth/validate - Successful Authorization",""
"passed","Fri Aug 21 15:03:27 UTC 2026","Fri Aug 21 15:03:31 UTC 2026","4156","","tests.CRMTests","","tests.CRMTests","testFailedLogin","testFailedLogin()","Unsuccessful login"
"passed","Fri Aug 21 15:03:09 UTC 2026","Fri Aug 21 15:03:14 UTC 2026","4747","","tests.MyInfoTests","","tests.MyInfoTests","openMyInfoPage","openMyInfoPage()","Go to My info Page"
"passed","Fri Aug 21 15:02:30 UTC 2026","Fri Aug 21 15:02:31 UTC 2026","820","HRM-Pet-project","","","","","Logged in",""
"passed","Fri Aug 21 15:03:39 UTC 2026","Fri Aug 21 15:03:39 UTC 2026","535","","tests.ApiUnAuthorizedTests","","tests.ApiUnAuthorizedTests","checkLoginEndpointAvailability","GET /auth/login - Check login page availability",""
"passed","Fri Aug 21 15:02:32 UTC 2026","Fri Aug 21 15:02:32 UTC 2026","573","HRM-Pet-project","","","","","get created user",""
"passed","Fri Aug 21 15:03:14 UTC 2026","Fri Aug 21 15:03:19 UTC 2026","4889","","tests.MyInfoTests","","tests.MyInfoTests","gotoContactDetails","gotoContactDetails()","Go to Contact Details tab"
"passed","Fri Aug 21 15:02:30 UTC 2026","Fri Aug 21 15:02:30 UTC 2026","601","HRM-Pet-project","","","","","Auth",""
"passed","Fri Aug 21 15:02:29 UTC 2026","Fri Aug 21 15:02:30 UTC 2026","1082","HRM-Pet-project","","","","","check availability",""
"passed","Fri Aug 21 15:03:37 UTC 2026","Fri Aug 21 15:03:39 UTC 2026","2189","","tests.ApiUnAuthorizedTests","","tests.ApiUnAuthorizedTests","testFailedAuth","POST /auth/validate - Failed Authorization",""
"passed","Fri Aug 21 15:02:31 UTC 2026","Fri Aug 21 15:02:32 UTC 2026","596","HRM-Pet-project","","","","","Create user",""
