"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 25 15:41:36 UTC 2026","Tue Aug 25 15:41:41 UTC 2026","5558","","tests.MyInfoTests","","tests.MyInfoTests","gotoContactDetails","gotoContactDetails()","Go to Contact Details tab"
"passed","Tue Aug 25 15:41:50 UTC 2026","Tue Aug 25 15:41:56 UTC 2026","5668","","tests.CRMTests","","tests.CRMTests","testFailedLogin","testFailedLogin()","Unsuccessful login"
"passed","Tue Aug 25 15:41:31 UTC 2026","Tue Aug 25 15:41:36 UTC 2026","4495","","tests.MyInfoTests","","tests.MyInfoTests","openMyInfoPage","openMyInfoPage()","Go to My info Page"
"passed","Tue Aug 25 15:42:07 UTC 2026","Tue Aug 25 15:42:09 UTC 2026","1749","","tests.APIUserCRUDTests","","tests.APIUserCRUDTests","test3_deleteEmployee","3. Удаление сотрудника по empNumber",""
"passed","Tue Aug 25 15:41:45 UTC 2026","Tue Aug 25 15:41:50 UTC 2026","4756","","tests.CRMTests","","tests.CRMTests","testLogin","testLogin()","Successful login"
"passed","Tue Aug 25 15:42:10 UTC 2026","Tue Aug 25 15:42:14 UTC 2026","4121","","tests.ApiUnAuthorizedTests","","tests.ApiUnAuthorizedTests","testFailedAuth","POST /auth/validate - Failed Authorization",""
"passed","Tue Aug 25 15:42:14 UTC 2026","Tue Aug 25 15:42:17 UTC 2026","2496","","tests.ApiUnAuthorizedTests","","tests.ApiUnAuthorizedTests","testSuccessfulAuth","POST /auth/validate - Successful Authorization",""
"passed","Tue Aug 25 15:42:05 UTC 2026","Tue Aug 25 15:42:06 UTC 2026","974","","tests.APIUserCRUDTests","","tests.APIUserCRUDTests","test1_createEmployee","1. Создание сотрудника и получение empNumber",""
"passed","Tue Aug 25 15:42:06 UTC 2026","Tue Aug 25 15:42:07 UTC 2026","963","","tests.APIUserCRUDTests","","tests.APIUserCRUDTests","test2_getEmployeeById","2. Поиск созданного сотрудника по empNumber",""
"passed","Tue Aug 25 15:41:56 UTC 2026","Tue Aug 25 15:42:00 UTC 2026","4640","","tests.CRMTests","","tests.CRMTests","testLogout","testLogout()","Logout"
